Unique_id,District,Location,Lat,Long,Type
KL-KEL-KMVD-50-AICS-02-115,Kollam,"Anchal Jn, Kulathupuzha road",8.9274682,76.9133146,AI Camera
KL-KEL-KMVD-50-AICS-02-116,Kollam,Sakthikulangara,8.9296026,76.5495661,AI Camera
KL-KEL-KMVD-50-AICS-02-117,Kollam,Pavoor Vayal Jn,8.9367684,76.613282,AI Camera
KL-KEL-KMVD-50-AICS-02-118,Kollam,Vettuthara Jn,8.9418012,76.5391648,AI Camera
KL-KEL-KMVD-50-AICS-02-119,Kollam,Odanavattom,8.9450739,76.7718315,AI Camera
KL-KEL-KMVD-50-AICS-02-120,Kollam,"Mukkada, Kundara road",8.9592251,76.6767568,AI Camera
KL-KEL-KMVD-50-AICS-02-121,Kollam,Thenmala Jn Chenkotta road,8.967804954,77.07041077,AI Camera
KL-KEL-KMVD-50-AICS-02-122,Kollam,"Ezhukone, Kottarakkara road",8.9806723,76.7213028,AI Camera
KL-KEL-KMVD-50-AICS-02-123,Kollam,"Karikkam, Kottarakkara road",8.992999,76.7920006,AI Camera
KL-KEL-KMVD-50-AICS-02-124,Kollam,"Titanium Jn, Sasthamkotta road",9.000891,76.5353628,AI Camera
KL-KEL-KMVD-50-AICS-02-125,Kollam,Randu road Jn,9.0020333,76.6628836,AI Camera
KL-KEL-KMVD-50-AICS-02-126,Kollam,"Market Jn Kottarakkara, Puthoor road",9.0063966,76.7721014,AI Camera
KL-KEL-KMVD-50-AICS-02-127,Kollam,"Punaloor, Kottarakkara road",9.0176838,76.9255281,AI Camera
KL-KEL-KMVD-50-AICS-02-128,Kollam,Karalimukk Jn,9.0243105,76.606057,AI Camera
KL-KEL-KMVD-50-AICS-02-129,Kollam,"Kunnikode, Kottarakkara road",9.0262467,76.8508431,AI Camera
KL-KEL-KMVD-50-AICS-02-130,Kollam,"Puthoor, Kottarakkara road",9.0416382,76.7151043,AI Camera
KL-KEL-KMVD-50-AICS-02-131,Kollam,Mynagappally - Sasthamkotta road,9.0423429,76.585005,AI Camera
KL-KEL-KMVD-50-AICS-02-132,Kollam,Sasthamkotta,9.0432876,76.625558,AI Camera
KL-KEL-KMVD-50-AICS-02-133,Kollam,Karunagappally Jn,9.0484933,76.5363593,AI Camera
KL-KEL-KMVD-50-AICS-02-134,Kollam,Bharanikavu Jn,9.0595063,76.6391344,AI Camera
KL-KEL-KMVD-50-AICS-02-135,Kollam,Nediyavila Jn,9.061752,76.6746959,AI Camera
KL-KEL-KMVD-50-AICS-02-136,Kollam,Patharam. High School Jn. Karunagappally road,9.0751864,76.6050413,AI Camera
KL-KEL-KMVD-50-AICS-02-137,Kollam,Puthiyakavu Jn,9.0781564,76.5316868,AI Camera
KL-KEL-KMVD-50-AICS-02-138,Kollam,"Alappat Jn, Kulakkada",9.0803718,76.7529852,AI Camera
KL-KEL-KMVD-50-AICS-02-139,Kollam,Thazhava Jn,9.0875852,76.5543571,AI Camera
KL-KEL-KMVD-50-AICS-02-140,Kollam,Chakkuvally Jn,9.0886587,76.6382357,AI Camera
KL-KEL-KMVD-50-AICS-02-141,Kollam,Pathanapuram,9.0888818,76.8560478,AI Camera
KL-KEL-KMVD-50-AICS-02-142,Kollam,"Oachira Bypass Jn,",9.1293042,76.5153318,AI Camera
,,,,,
KL-KEL-KMVD-50-AICS-03-143,Pathanamthitta,"Kadampanad Jn, Eanath road",9.0919576,76.6865217,AI Camera
KL-KEL-KMVD-50-AICS-03-144,Pathanamthitta,"Enath, Adoor MC road",9.0930627,76.753298,AI Camera
KL-KEL-KMVD-50-AICS-03-145,Pathanamthitta,"Kalanjoor Jn, Elamannoor - Paadam road",9.120333726,76.85105704,AI Camera
KL-KEL-KMVD-50-AICS-03-146,Pathanamthitta,"Nellimuttilpadi Jn, Sasthamkotta road",9.1396588,76.733111,AI Camera
KL-KEL-KMVD-50-AICS-03-147,Pathanamthitta,"Ezhamkulam Jn, Adoor road",9.1449214,76.7681462,AI Camera
KL-KEL-KMVD-50-AICS-03-148,Pathanamthitta,Adoor Jn,9.152474357,76.73564393,AI Camera
KL-KEL-KMVD-50-AICS-03-149,Pathanamthitta,"High school Jn, Adoor",9.161539215,76.72083948,AI Camera
KL-KEL-KMVD-50-AICS-03-150,Pathanamthitta,"Anandapally Jn, Pathanamthitta road",9.1763663,76.7415494,AI Camera
KL-KEL-KMVD-50-AICS-03-151,Pathanamthitta,Pandalam Medical mission Jn,9.216957047,76.68110758,AI Camera
KL-KEL-KMVD-50-AICS-03-152,Pathanamthitta,"Konni, Pathanapuram road",9.221877207,76.85094573,AI Camera
KL-KEL-KMVD-50-AICS-03-153,Pathanamthitta,"Pandalam, Kaippattoor road",9.223665948,76.68318529,AI Camera
KL-KEL-KMVD-50-AICS-03-154,Pathanamthitta,"MC road, Kulanada",9.242484078,76.67236827,AI Camera
KL-KEL-KMVD-50-AICS-03-155,Pathanamthitta,"Omallur, Puthenpeedika, Pathanamthitta road",9.254415318,76.76195439,AI Camera
